,featurecode,years,units,value,region_of_residence,breakdown_of_domestic_tourism
0,S12000039,2016-2018,million pounds (GBP),8,England,Expenditure
1,S12000039,2015-2017,Thousand Nights,140,All of GB,Nights
2,S12000039,2015-2017,million pounds (GBP),8,England,Expenditure
3,S12000039,2017-2019,Thousand Nights,76,England,Nights
4,S12000039,2009-2011,Thousand Visits,68,Scotland,Visits
5,S12000039,2016-2018,Thousand Nights,59,Scotland,Nights
6,S12000039,2016-2018,million pounds (GBP),4,Scotland,Expenditure
7,S12000039,2013-2015,Thousand Visits,32,Scotland,Visits
8,S12000039,2012-2014,million pounds (GBP),6,England,Expenditure
9,S12000039,2015-2017,Thousand Visits,28,England,Visits
10,S12000039,2010-2012,Thousand Visits,27,England,Visits
11,S12000039,2009-2011,million pounds (GBP),3,England,Expenditure
12,S12000039,2010-2012,million pounds (GBP),13,Scotland,Expenditure
13,S12000039,2012-2014,Thousand Visits,67,All of GB,Visits
14,S12000039,2010-2012,Thousand Nights,183,Scotland,Nights
15,S12000039,2011-2013,million pounds (GBP),16,All of GB,Expenditure
16,S12000039,2013-2015,Thousand Nights,49,Scotland,Nights
17,S12000039,2011-2013,Thousand Visits,44,Scotland,Visits
18,S12000039,2014-2016,million pounds (GBP),9,England,Expenditure
19,S12000039,2017-2019,Thousand Visits,70,All of GB,Visits
20,S12000039,2016-2018,Thousand Nights,144,All of GB,Nights
21,S12000039,2016-2018,Thousand Visits,28,England,Visits
22,S12000039,2013-2015,Thousand Visits,61,All of GB,Visits
23,S12000039,2015-2017,Thousand Nights,58,Scotland,Nights
24,S12000039,2011-2013,Thousand Visits,29,England,Visits
25,S12000039,2016-2018,Thousand Visits,28,Scotland,Visits
26,S12000039,2017-2019,million pounds (GBP),4,Scotland,Expenditure
27,S12000039,2015-2017,Thousand Visits,64,All of GB,Visits
28,S12000039,2011-2013,million pounds (GBP),4,England,Expenditure
29,S12000039,2013-2015,million pounds (GBP),4,England,Expenditure
30,S12000039,2014-2016,Thousand Visits,28,Scotland,Visits
31,S12000039,2014-2016,Thousand Nights,128,All of GB,Nights
32,S12000039,2017-2019,Thousand Nights,98,Scotland,Nights
33,S12000039,2009-2011,Thousand Nights,153,Scotland,Nights
34,S12000039,2017-2019,Thousand Visits,22,England,Visits
35,S12000039,2013-2015,Thousand Nights,64,England,Nights
36,S12000039,2012-2014,million pounds (GBP),2,Scotland,Expenditure
37,S12000039,2009-2011,Thousand Visits,96,All of GB,Visits
38,S12000039,2011-2013,Thousand Nights,256,All of GB,Nights
39,S12000039,2012-2014,Thousand Nights,90,England,Nights
40,S12000039,2009-2011,Thousand Nights,318,All of GB,Nights
41,S12000039,2015-2017,million pounds (GBP),4,Scotland,Expenditure
42,S12000039,2014-2016,Thousand Visits,64,All of GB,Visits
43,S12000039,2009-2011,Thousand Nights,110,England,Nights
44,S12000039,2010-2012,Thousand Visits,92,All of GB,Visits
45,S12000039,2010-2012,Thousand Visits,59,Scotland,Visits
46,S12000039,2010-2012,million pounds (GBP),19,All of GB,Expenditure
47,S12000039,2011-2013,Thousand Visits,81,All of GB,Visits
48,S12000039,2012-2014,Thousand Visits,26,Scotland,Visits
49,S12000039,2017-2019,million pounds (GBP),11,England,Expenditure
50,S12000039,2013-2015,Thousand Visits,27,England,Visits
51,S12000039,2013-2015,Thousand Nights,118,All of GB,Nights
52,S12000039,2016-2018,million pounds (GBP),12,All of GB,Expenditure
53,S12000039,2015-2017,Thousand Visits,36,Scotland,Visits
54,S12000039,2014-2016,Thousand Nights,40,Scotland,Nights
55,S12000039,2013-2015,million pounds (GBP),3,Scotland,Expenditure
56,S12000039,2016-2018,Thousand Visits,56,All of GB,Visits
57,S12000039,2010-2012,Thousand Nights,84,England,Nights
58,S12000039,2015-2017,Thousand Nights,82,England,Nights
59,S12000039,2010-2012,million pounds (GBP),4,England,Expenditure
60,S12000039,2012-2014,million pounds (GBP),10,All of GB,Expenditure
61,S12000039,2011-2013,Thousand Nights,81,England,Nights
62,S12000039,2011-2013,Thousand Nights,161,Scotland,Nights
63,S12000039,2010-2012,Thousand Nights,273,All of GB,Nights
64,S12000039,2009-2011,Thousand Visits,24,England,Visits
65,S12000039,2012-2014,Thousand Nights,91,Scotland,Nights
66,S12000039,2013-2015,million pounds (GBP),8,All of GB,Expenditure
67,S12000039,2009-2011,million pounds (GBP),14,Scotland,Expenditure
68,S12000039,2014-2016,Thousand Visits,36,England,Visits
69,S12000039,2017-2019,million pounds (GBP),15,All of GB,Expenditure
70,S12000039,2011-2013,million pounds (GBP),9,Scotland,Expenditure
71,S12000039,2015-2017,million pounds (GBP),13,All of GB,Expenditure
72,S12000039,2017-2019,Thousand Visits,48,Scotland,Visits
73,S12000039,2017-2019,Thousand Nights,174,All of GB,Nights
74,S12000039,2014-2016,Thousand Nights,91,England,Nights
75,S12000039,2012-2014,Thousand Visits,32,England,Visits
76,S12000039,2014-2016,million pounds (GBP),12,All of GB,Expenditure
77,S12000039,2009-2011,million pounds (GBP),19,All of GB,Expenditure
78,S12000039,2016-2018,Thousand Nights,84,England,Nights
79,S12000039,2014-2016,million pounds (GBP),3,Scotland,Expenditure
80,S12000039,2012-2014,Thousand Nights,192,All of GB,Nights
81,S12000040,2016-2018,Thousand Nights,197,All of GB,Nights
82,S12000040,2015-2017,Thousand Nights,115,England,Nights
83,S12000040,2015-2017,Thousand Visits,48,England,Visits
84,S12000040,2015-2017,million pounds (GBP),2,Scotland,Expenditure
85,S12000040,2013-2015,Thousand Visits,135,All of GB,Visits
86,S12000040,2010-2012,Thousand Visits,51,England,Visits
87,S12000040,2010-2012,million pounds (GBP),14,All of GB,Expenditure
88,S12000040,2010-2012,million pounds (GBP),3,Scotland,Expenditure
89,S12000040,2012-2014,Thousand Visits,66,Scotland,Visits
90,S12000040,2017-2019,million pounds (GBP),9,England,Expenditure
91,S12000040,2009-2011,Thousand Visits,56,England,Visits
92,S12000040,2013-2015,Thousand Nights,291,All of GB,Nights
93,S12000040,2011-2013,Thousand Visits,54,Scotland,Visits
94,S12000040,2011-2013,Thousand Nights,104,Scotland,Nights
95,S12000040,2011-2013,million pounds (GBP),13,All of GB,Expenditure
96,S12000040,2016-2018,Thousand Visits,62,England,Visits
97,S12000040,2013-2015,Thousand Visits,60,England,Visits
98,S12000040,2017-2019,Thousand Visits,39,Scotland,Visits
99,S12000040,2015-2017,million pounds (GBP),7,England,Expenditure
100,S12000040,2011-2013,million pounds (GBP),4,Scotland,Expenditure
101,S12000040,2014-2016,Thousand Visits,140,All of GB,Visits
102,S12000040,2017-2019,Thousand Nights,130,England,Nights
103,S12000040,2009-2011,Thousand Visits,98,Scotland,Visits
104,S12000040,2012-2014,Thousand Visits,143,All of GB,Visits
105,S12000040,2009-2011,Thousand Visits,156,All of GB,Visits
106,S12000040,2012-2014,million pounds (GBP),7,England,Expenditure
107,S12000040,2013-2015,Thousand Nights,243,England,Nights
108,S12000040,2009-2011,Thousand Nights,280,England,Nights
109,S12000040,2009-2011,million pounds (GBP),5,Scotland,Expenditure
110,S12000040,2012-2014,Thousand Nights,271,England,Nights
111,S12000040,2016-2018,Thousand Visits,86,All of GB,Visits
112,S12000040,2013-2015,million pounds (GBP),15,All of GB,Expenditure
113,S12000040,2011-2013,Thousand Nights,124,England,Nights
114,S12000040,2012-2014,Thousand Nights,330,All of GB,Nights
115,S12000040,2012-2014,million pounds (GBP),7,Scotland,Expenditure
116,S12000040,2015-2017,Thousand Visits,27,Scotland,Visits
117,S12000040,2011-2013,Thousand Nights,228,All of GB,Nights
118,S12000040,2013-2015,million pounds (GBP),7,Scotland,Expenditure
119,S12000040,2014-2016,Thousand Nights,313,All of GB,Nights
120,S12000040,2014-2016,Thousand Nights,88,Scotland,Nights
121,S12000040,2015-2017,Thousand Visits,77,All of GB,Visits
122,S12000040,2016-2018,Thousand Nights,53,Scotland,Nights
123,S12000040,2010-2012,Thousand Visits,124,All of GB,Visits
124,S12000040,2010-2012,Thousand Visits,72,Scotland,Visits
125,S12000040,2011-2013,Thousand Visits,103,All of GB,Visits
126,S12000040,2013-2015,Thousand Visits,66,Scotland,Visits
127,S12000040,2016-2018,million pounds (GBP),12,All of GB,Expenditure
128,S12000040,2010-2012,million pounds (GBP),10,England,Expenditure
129,S12000040,2009-2011,Thousand Nights,476,All of GB,Nights
130,S12000040,2010-2012,Thousand Nights,282,All of GB,Nights
131,S12000040,2009-2011,Thousand Nights,186,Scotland,Nights
132,S12000040,2012-2014,million pounds (GBP),15,All of GB,Expenditure
133,S12000040,2011-2013,Thousand Visits,49,England,Visits
134,S12000040,2009-2011,million pounds (GBP),9,England,Expenditure
135,S12000040,2015-2017,Thousand Nights,39,Scotland,Nights
136,S12000040,2011-2013,million pounds (GBP),9,England,Expenditure
137,S12000040,2016-2018,Thousand Nights,144,England,Nights
138,S12000040,2017-2019,Thousand Nights,88,Scotland,Nights
139,S12000040,2017-2019,million pounds (GBP),12,All of GB,Expenditure
140,S12000040,2017-2019,Thousand Visits,56,England,Visits
141,S12000040,2014-2016,million pounds (GBP),8,England,Expenditure
142,S12000040,2012-2014,Thousand Nights,114,Scotland,Nights
143,S12000040,2014-2016,million pounds (GBP),6,Scotland,Expenditure
144,S12000040,2017-2019,million pounds (GBP),3,Scotland,Expenditure
145,S12000040,2012-2014,Thousand Visits,71,England,Visits
146,S12000040,2015-2017,Thousand Nights,157,All of GB,Nights
147,S12000040,2016-2018,million pounds (GBP),3,Scotland,Expenditure
148,S12000040,2013-2015,million pounds (GBP),7,England,Expenditure
149,S12000040,2010-2012,Thousand Nights,148,Scotland,Nights
150,S12000040,2016-2018,Thousand Visits,24,Scotland,Visits
151,S12000040,2014-2016,Thousand Visits,59,Scotland,Visits
152,S12000040,2010-2012,Thousand Nights,124,England,Nights
153,S12000040,2017-2019,Thousand Visits,95,All of GB,Visits
154,S12000040,2016-2018,million pounds (GBP),9,England,Expenditure
155,S12000040,2014-2016,Thousand Visits,72,England,Visits
156,S12000040,2014-2016,million pounds (GBP),16,All of GB,Expenditure
157,S12000040,2009-2011,million pounds (GBP),14,All of GB,Expenditure
158,S12000040,2013-2015,Thousand Nights,100,Scotland,Nights
159,S12000040,2014-2016,Thousand Nights,278,England,Nights
160,S12000040,2015-2017,million pounds (GBP),10,All of GB,Expenditure
161,S12000040,2017-2019,Thousand Nights,218,All of GB,Nights
162,S92000003,2012-2014,Thousand Visits,6441,Scotland,Visits
163,S92000003,2010-2012,Thousand Nights,18949,Scotland,Nights
164,S92000003,2010-2012,million pounds (GBP),1675,England,Expenditure
165,S92000003,2010-2012,Thousand Visits,12736,All of GB,Visits
166,S92000003,2009-2011,Thousand Visits,5906,England,Visits
167,S92000003,2011-2013,Thousand Nights,18188,Scotland,Nights
168,S92000003,2017-2019,Thousand Nights,41937,All of GB,Nights
169,S92000003,2014-2016,Thousand Nights,40607,All of GB,Nights
170,S92000003,2012-2014,Thousand Nights,22965,England,Nights
171,S92000003,2010-2012,Thousand Visits,5921,England,Visits
172,S92000003,2014-2016,million pounds (GBP),1126,Scotland,Expenditure
173,S92000003,2017-2019,Thousand Visits,12426,All of GB,Visits
174,S92000003,2013-2015,Thousand Nights,17977,Scotland,Nights
175,S92000003,2016-2018,Thousand Nights,39424,All of GB,Nights
176,S92000003,2017-2019,Thousand Nights,17996,Scotland,Nights
177,S92000003,2012-2014,Thousand Nights,18464,Scotland,Nights
178,S92000003,2011-2013,Thousand Visits,12745,All of GB,Visits
179,S92000003,2014-2016,Thousand Visits,12007,All of GB,Visits
180,S92000003,2010-2012,Thousand Visits,6593,Scotland,Visits
181,S92000003,2013-2015,Thousand Visits,12210,All of GB,Visits
182,S92000003,2009-2011,Thousand Visits,12499,All of GB,Visits
183,S92000003,2014-2016,Thousand Nights,22698,England,Nights
184,S92000003,2016-2018,Thousand Visits,6062,England,Visits
185,S92000003,2016-2018,Thousand Nights,22836,England,Nights
186,S92000003,2015-2017,million pounds (GBP),3061,All of GB,Expenditure
187,S92000003,2015-2017,Thousand Nights,15759,Scotland,Nights
188,S92000003,2011-2013,million pounds (GBP),1730,England,Expenditure
189,S92000003,2010-2012,Thousand Nights,24112,England,Nights
190,S92000003,2009-2011,million pounds (GBP),2698,All of GB,Expenditure
191,S92000003,2012-2014,Thousand Nights,42551,All of GB,Nights
192,S92000003,2013-2015,Thousand Nights,22957,England,Nights
193,S92000003,2011-2013,Thousand Nights,43876,All of GB,Nights
194,S92000003,2012-2014,million pounds (GBP),1146,Scotland,Expenditure
195,S92000003,2013-2015,million pounds (GBP),1163,Scotland,Expenditure
196,S92000003,2011-2013,Thousand Nights,24459,England,Nights
197,S92000003,2012-2014,Thousand Visits,5742,England,Visits
198,S92000003,2016-2018,Thousand Visits,5632,Scotland,Visits
199,S92000003,2016-2018,Thousand Nights,15575,Scotland,Nights
200,S92000003,2009-2011,Thousand Nights,25103,England,Nights
201,S92000003,2017-2019,million pounds (GBP),2989,All of GB,Expenditure
202,S92000003,2011-2013,Thousand Visits,5943,England,Visits
203,S92000003,2009-2011,million pounds (GBP),1644,England,Expenditure
204,S92000003,2015-2017,Thousand Visits,5650,Scotland,Visits
205,S92000003,2016-2018,million pounds (GBP),1040,Scotland,Expenditure
206,S92000003,2014-2016,million pounds (GBP),3016,All of GB,Expenditure
207,S92000003,2013-2015,million pounds (GBP),1777,England,Expenditure
208,S92000003,2009-2011,Thousand Nights,44671,All of GB,Nights
209,S92000003,2009-2011,Thousand Nights,18434,Scotland,Nights
210,S92000003,2017-2019,Thousand Visits,5920,England,Visits
211,S92000003,2017-2019,million pounds (GBP),1163,Scotland,Expenditure
212,S92000003,2015-2017,million pounds (GBP),1928,England,Expenditure
213,S92000003,2010-2012,million pounds (GBP),1043,Scotland,Expenditure
214,S92000003,2017-2019,Thousand Nights,23002,England,Nights
215,S92000003,2011-2013,Thousand Visits,6580,Scotland,Visits
216,S92000003,2009-2011,million pounds (GBP),970,Scotland,Expenditure
217,S92000003,2012-2014,Thousand Visits,12464,All of GB,Visits
218,S92000003,2010-2012,million pounds (GBP),2809,All of GB,Expenditure
219,S92000003,2014-2016,million pounds (GBP),1823,England,Expenditure
220,S92000003,2013-2015,million pounds (GBP),3013,All of GB,Expenditure
221,S92000003,2011-2013,million pounds (GBP),1097,Scotland,Expenditure
222,S92000003,2015-2017,Thousand Visits,6141,England,Visits
223,S92000003,2016-2018,Thousand Visits,11943,All of GB,Visits
224,S92000003,2009-2011,Thousand Visits,6378,Scotland,Visits
225,S92000003,2015-2017,Thousand Visits,12004,All of GB,Visits
226,S92000003,2017-2019,million pounds (GBP),1767,England,Expenditure
227,S92000003,2016-2018,million pounds (GBP),2888,All of GB,Expenditure
228,S92000003,2013-2015,Thousand Visits,5721,England,Visits
229,S92000003,2015-2017,Thousand Nights,39759,All of GB,Nights
230,S92000003,2014-2016,Thousand Visits,5787,England,Visits
231,S92000003,2012-2014,million pounds (GBP),1649,England,Expenditure
232,S92000003,2011-2013,million pounds (GBP),2933,All of GB,Expenditure
233,S92000003,2014-2016,Thousand Visits,5940,Scotland,Visits
234,S92000003,2013-2015,Thousand Nights,41890,All of GB,Nights
235,S92000003,2012-2014,million pounds (GBP),2884,All of GB,Expenditure
236,S92000003,2016-2018,million pounds (GBP),1788,England,Expenditure
237,S92000003,2013-2015,Thousand Visits,6227,Scotland,Visits
238,S92000003,2014-2016,Thousand Nights,16936,Scotland,Nights
239,S92000003,2015-2017,Thousand Nights,23109,England,Nights
240,S92000003,2015-2017,million pounds (GBP),1079,Scotland,Expenditure
241,S92000003,2017-2019,Thousand Visits,6284,Scotland,Visits
242,S92000003,2010-2012,Thousand Nights,44181,All of GB,Nights
243,S12000005,2009-2011,Thousand Visits,23,Scotland,Visits
244,S12000005,2015-2017,Thousand Visits,21,England,Visits
245,S12000005,2013-2015,Thousand Visits,21,Scotland,Visits
246,S12000005,2016-2018,Thousand Nights,47,All of GB,Nights
247,S12000005,2009-2011,million pounds (GBP),7,All of GB,Expenditure
248,S12000005,2011-2013,Thousand Visits,15,Scotland,Visits
249,S12000005,2016-2018,Thousand Visits,13,England,Visits
250,S12000005,2011-2013,million pounds (GBP),5,All of GB,Expenditure
251,S12000005,2012-2014,Thousand Nights,25,Scotland,Nights
252,S12000005,2009-2011,million pounds (GBP),2,Scotland,Expenditure
253,S12000005,2016-2018,Thousand Nights,11,Scotland,Nights
254,S12000005,2015-2017,Thousand Nights,86,England,Nights
255,S12000005,2016-2018,Thousand Nights,37,England,Nights
256,S12000005,2017-2019,Thousand Nights,111,All of GB,Nights
257,S12000005,2015-2017,Thousand Nights,26,Scotland,Nights
258,S12000005,2010-2012,Thousand Nights,35,Scotland,Nights
259,S12000005,2013-2015,million pounds (GBP),2,Scotland,Expenditure
260,S12000005,2009-2011,Thousand Nights,39,Scotland,Nights
261,S12000005,2017-2019,Thousand Visits,21,Scotland,Visits
262,S12000005,2010-2012,Thousand Visits,21,Scotland,Visits
263,S12000005,2015-2017,Thousand Nights,112,All of GB,Nights
264,S12000005,2015-2017,Thousand Visits,13,Scotland,Visits
265,S12000005,2016-2018,Thousand Visits,9,Scotland,Visits
266,S12000005,2016-2018,million pounds (GBP),1,Scotland,Expenditure
267,S12000005,2010-2012,million pounds (GBP),8,All of GB,Expenditure
268,S12000005,2011-2013,Thousand Nights,24,Scotland,Nights
269,S12000005,2010-2012,million pounds (GBP),2,Scotland,Expenditure
270,S12000005,2011-2013,million pounds (GBP),2,Scotland,Expenditure
271,S12000005,2014-2016,Thousand Nights,89,England,Nights
272,S12000005,2009-2011,Thousand Visits,49,All of GB,Visits
273,S12000005,2010-2012,Thousand Visits,50,All of GB,Visits
274,S12000005,2011-2013,Thousand Visits,20,England,Visits
275,S12000005,2012-2014,Thousand Visits,41,All of GB,Visits
276,S12000005,2012-2014,million pounds (GBP),1,Scotland,Expenditure
277,S12000005,2017-2019,million pounds (GBP),2,Scotland,Expenditure
278,S12000005,2016-2018,million pounds (GBP),1,England,Expenditure
279,S12000005,2015-2017,million pounds (GBP),3,England,Expenditure
280,S12000005,2012-2014,Thousand Nights,96,All of GB,Nights
281,S12000005,2012-2014,Thousand Visits,27,England,Visits
282,S12000005,2016-2018,million pounds (GBP),2,All of GB,Expenditure
283,S12000005,2012-2014,Thousand Visits,14,Scotland,Visits
284,S12000005,2017-2019,million pounds (GBP),3,All of GB,Expenditure
285,S12000005,2014-2016,Thousand Nights,39,Scotland,Nights
286,S12000005,2017-2019,Thousand Nights,46,England,Nights
287,S12000005,2012-2014,Thousand Nights,71,England,Nights
288,S12000005,2017-2019,Thousand Visits,38,All of GB,Visits
289,S12000005,2010-2012,million pounds (GBP),4,England,Expenditure
290,S12000005,2014-2016,Thousand Visits,21,Scotland,Visits
291,S12000005,2009-2011,Thousand Visits,21,England,Visits
292,S12000005,2017-2019,Thousand Nights,65,Scotland,Nights
293,S12000005,2015-2017,million pounds (GBP),1,Scotland,Expenditure
294,S12000005,2015-2017,Thousand Visits,34,All of GB,Visits
295,S12000005,2011-2013,Thousand Nights,80,All of GB,Nights
296,S12000005,2014-2016,million pounds (GBP),5,All of GB,Expenditure
297,S12000005,2017-2019,Thousand Visits,16,England,Visits
298,S12000005,2014-2016,million pounds (GBP),3,England,Expenditure
299,S12000005,2016-2018,Thousand Visits,22,All of GB,Visits
300,S12000005,2011-2013,million pounds (GBP),3,England,Expenditure
301,S12000005,2013-2015,Thousand Nights,42,Scotland,Nights
302,S12000005,2014-2016,Thousand Visits,44,All of GB,Visits
303,S12000005,2014-2016,Thousand Visits,23,England,Visits
304,S12000005,2009-2011,Thousand Nights,99,All of GB,Nights
305,S12000005,2013-2015,million pounds (GBP),4,England,Expenditure
306,S12000005,2012-2014,million pounds (GBP),3,England,Expenditure
307,S12000005,2010-2012,Thousand Nights,130,All of GB,Nights
308,S12000005,2014-2016,million pounds (GBP),2,Scotland,Expenditure
309,S12000005,2015-2017,million pounds (GBP),4,All of GB,Expenditure
310,S12000005,2011-2013,Thousand Nights,55,England,Nights
311,S12000005,2010-2012,Thousand Nights,75,England,Nights
312,S12000005,2017-2019,million pounds (GBP),1,England,Expenditure
313,S12000005,2013-2015,million pounds (GBP),6,All of GB,Expenditure
314,S12000005,2010-2012,Thousand Visits,24,England,Visits
315,S12000005,2011-2013,Thousand Visits,35,All of GB,Visits
316,S12000005,2012-2014,million pounds (GBP),5,All of GB,Expenditure
317,S12000005,2009-2011,million pounds (GBP),3,England,Expenditure
318,S12000005,2013-2015,Thousand Nights,93,England,Nights
319,S12000005,2013-2015,Thousand Visits,26,England,Visits
320,S12000005,2009-2011,Thousand Nights,39,England,Nights
321,S12000005,2014-2016,Thousand Nights,129,All of GB,Nights
322,S12000005,2013-2015,Thousand Visits,47,All of GB,Visits
323,S12000005,2013-2015,Thousand Nights,135,All of GB,Nights
324,S12000006,2009-2011,Thousand Visits,403,England,Visits
325,S12000006,2011-2013,Thousand Visits,406,England,Visits
326,S12000006,2011-2013,Thousand Nights,2444,All of GB,Nights
327,S12000006,2012-2014,million pounds (GBP),76,England,Expenditure
328,S12000006,2009-2011,million pounds (GBP),139,All of GB,Expenditure
329,S12000006,2016-2018,Thousand Visits,257,Scotland,Visits
330,S12000006,2011-2013,Thousand Visits,729,All of GB,Visits
331,S12000006,2015-2017,Thousand Visits,436,England,Visits
332,S12000006,2017-2019,million pounds (GBP),38,Scotland,Expenditure
333,S12000006,2013-2015,Thousand Visits,702,All of GB,Visits
334,S12000006,2009-2011,Thousand Visits,756,All of GB,Visits
335,S12000006,2015-2017,Thousand Nights,703,Scotland,Nights
336,S12000006,2012-2014,Thousand Nights,872,Scotland,Nights
337,S12000006,2017-2019,Thousand Nights,716,Scotland,Nights
338,S12000006,2012-2014,Thousand Visits,673,All of GB,Visits
339,S12000006,2013-2015,Thousand Visits,269,Scotland,Visits
340,S12000006,2010-2012,Thousand Nights,1578,England,Nights
341,S12000006,2010-2012,Thousand Visits,344,Scotland,Visits
342,S12000006,2014-2016,million pounds (GBP),135,All of GB,Expenditure
343,S12000006,2013-2015,Thousand Nights,765,Scotland,Nights
344,S12000006,2017-2019,Thousand Nights,2288,All of GB,Nights
345,S12000006,2009-2011,Thousand Nights,2863,All of GB,Nights
346,S12000006,2011-2013,million pounds (GBP),92,England,Expenditure
347,S12000006,2017-2019,Thousand Visits,418,England,Visits
348,S12000006,2014-2016,million pounds (GBP),92,England,Expenditure
349,S12000006,2015-2017,million pounds (GBP),139,All of GB,Expenditure
350,S12000006,2010-2012,million pounds (GBP),99,England,Expenditure
351,S12000006,2015-2017,Thousand Visits,691,All of GB,Visits
352,S12000006,2013-2015,million pounds (GBP),87,England,Expenditure
353,S12000006,2014-2016,Thousand Visits,274,Scotland,Visits
354,S12000006,2010-2012,Thousand Nights,2828,All of GB,Nights
355,S12000006,2015-2017,million pounds (GBP),37,Scotland,Expenditure
356,S12000006,2014-2016,Thousand Nights,2800,All of GB,Nights
357,S12000006,2014-2016,million pounds (GBP),40,Scotland,Expenditure
358,S12000006,2014-2016,Thousand Visits,694,All of GB,Visits
359,S12000006,2012-2014,million pounds (GBP),115,All of GB,Expenditure
360,S12000006,2016-2018,Thousand Visits,682,All of GB,Visits
361,S12000006,2016-2018,Thousand Visits,406,England,Visits
362,S12000006,2014-2016,Thousand Nights,836,Scotland,Nights
363,S12000006,2015-2017,million pounds (GBP),99,England,Expenditure
364,S12000006,2009-2011,Thousand Visits,341,Scotland,Visits
365,S12000006,2016-2018,million pounds (GBP),86,England,Expenditure
366,S12000006,2012-2014,Thousand Nights,2316,All of GB,Nights
367,S12000006,2015-2017,Thousand Nights,1791,England,Nights
368,S12000006,2009-2011,million pounds (GBP),96,England,Expenditure
369,S12000006,2017-2019,Thousand Nights,1502,England,Nights
370,S12000006,2016-2018,Thousand Nights,1550,England,Nights
371,S12000006,2015-2017,Thousand Nights,2584,All of GB,Nights
372,S12000006,2014-2016,Thousand Visits,407,England,Visits
373,S12000006,2013-2015,Thousand Visits,412,England,Visits
374,S12000006,2016-2018,million pounds (GBP),131,All of GB,Expenditure
375,S12000006,2016-2018,million pounds (GBP),42,Scotland,Expenditure
376,S12000006,2013-2015,Thousand Nights,2528,All of GB,Nights
377,S12000006,2009-2011,million pounds (GBP),40,Scotland,Expenditure
378,S12000006,2012-2014,Thousand Nights,1393,England,Nights
379,S12000006,2017-2019,Thousand Visits,699,All of GB,Visits
380,S12000006,2011-2013,million pounds (GBP),137,All of GB,Expenditure
381,S12000006,2017-2019,million pounds (GBP),89,England,Expenditure
382,S12000006,2010-2012,Thousand Nights,1177,Scotland,Nights
383,S12000006,2011-2013,Thousand Visits,303,Scotland,Visits
384,S12000006,2013-2015,million pounds (GBP),35,Scotland,Expenditure
385,S12000006,2012-2014,million pounds (GBP),34,Scotland,Expenditure
386,S12000006,2016-2018,Thousand Nights,727,Scotland,Nights
387,S12000006,2014-2016,Thousand Nights,1912,England,Nights
388,S12000006,2010-2012,million pounds (GBP),143,All of GB,Expenditure
389,S12000006,2016-2018,Thousand Nights,2378,All of GB,Nights
390,S12000006,2013-2015,million pounds (GBP),127,All of GB,Expenditure
391,S12000006,2010-2012,Thousand Visits,387,England,Visits
392,S12000006,2010-2012,Thousand Visits,747,All of GB,Visits
393,S12000006,2009-2011,Thousand Nights,1103,Scotland,Nights
394,S12000006,2011-2013,Thousand Nights,896,Scotland,Nights
395,S12000006,2011-2013,Thousand Nights,1458,England,Nights
396,S12000006,2015-2017,Thousand Visits,245,Scotland,Visits
397,S12000006,2012-2014,Thousand Visits,357,England,Visits
398,S12000006,2017-2019,Thousand Visits,265,Scotland,Visits
399,S12000006,2017-2019,million pounds (GBP),131,All of GB,Expenditure
400,S12000006,2012-2014,Thousand Visits,294,Scotland,Visits
401,S12000006,2010-2012,million pounds (GBP),41,Scotland,Expenditure
402,S12000006,2009-2011,Thousand Nights,1692,England,Nights
403,S12000006,2013-2015,Thousand Nights,1711,England,Nights
404,S12000006,2011-2013,million pounds (GBP),40,Scotland,Expenditure
405,S12000008,2014-2016,million pounds (GBP),8,All of GB,Expenditure
406,S12000008,2013-2015,Thousand Visits,30,England,Visits
407,S12000008,2016-2018,million pounds (GBP),7,England,Expenditure
408,S12000008,2014-2016,Thousand Visits,27,England,Visits
409,S12000008,2011-2013,million pounds (GBP),6,England,Expenditure
410,S12000008,2017-2019,Thousand Visits,67,All of GB,Visits
411,S12000008,2016-2018,million pounds (GBP),15,All of GB,Expenditure
412,S12000008,2012-2014,Thousand Visits,30,England,Visits
413,S12000008,2015-2017,million pounds (GBP),12,All of GB,Expenditure
414,S12000008,2016-2018,Thousand Nights,159,England,Nights
415,S12000008,2012-2014,million pounds (GBP),5,England,Expenditure
416,S12000008,2013-2015,million pounds (GBP),5,England,Expenditure
417,S12000008,2014-2016,million pounds (GBP),4,England,Expenditure
418,S12000008,2010-2012,million pounds (GBP),4,England,Expenditure
419,S12000008,2017-2019,Thousand Visits,45,England,Visits
420,S12000008,2015-2017,million pounds (GBP),4,England,Expenditure
421,S12000008,2012-2014,Thousand Visits,61,All of GB,Visits
422,S12000008,2013-2015,Thousand Visits,32,Scotland,Visits
423,S12000008,2017-2019,million pounds (GBP),16,All of GB,Expenditure
424,S12000008,2015-2017,Thousand Visits,35,England,Visits
425,S12000008,2017-2019,million pounds (GBP),8,Scotland,Expenditure
426,S12000008,2010-2012,Thousand Nights,81,England,Nights
427,S12000008,2010-2012,Thousand Visits,70,All of GB,Visits
428,S12000008,2016-2018,Thousand Nights,214,All of GB,Nights
429,S12000008,2012-2014,million pounds (GBP),11,All of GB,Expenditure
430,S12000008,2013-2015,Thousand Visits,62,All of GB,Visits
431,S12000008,2009-2011,Thousand Visits,37,England,Visits
432,S12000008,2009-2011,Thousand Visits,85,All of GB,Visits
